name	element	base_type	base_c	re_atom_energy	binding_energy	base_energy	o	h	c	n	f	s	co2	cho	co	cooh	n2	n2h	no	noh	oh	h2o
3-2-nd	nd	2	-596.80908	-4.42155	-9.28836	-610.51899	-619.02993	-615.047711	-619.0580195	-619.1079873	-615.5162377	-615.6220411	-634.0297885	-628.1877317	-627.2419542	-635.650166	-626.2333945	-627.6532972	-624.9469762	-629.1181242	-622.1705133	-625.8027804
3-2-sm	sm	2	-596.80908	-8.6783	-8.9468	-614.43418	-622.97996	-618.7511717	-622.6508159	-623.6577563	-619.4360035	-619.82424	-637.6879817	-632.1509684	-630.8415845	-639.509382	-630.260434	-631.0305124	-628.6599277	-633.0093126	-625.940887	-629.6527174
3-2-eu	eu	2	-596.80908	-8.39244	-2.70666	-607.90818	-616.74216	-612.6921729	-615.8249001	-615.8558164	-614.4604914	-613.0333403	-631.18149	-626.4466749	-624.558541	-633.2044546	-622.1884326	-621.3323309	-625.5048765	-627.6241939	-621.8694269	-625.2472999
3-2-gd	gd	2	-596.80908	-10.37866	-11.24256	-618.4303	-626.93333	-622.5400332	-628.03127	-628.416538	-622.8509204	-623.4058537	-641.5717717	-635.81804	-634.6509639	-643.418288	-634.9288578	-636.0823805	-631.2916807	-636.5783424	-628.9498234	-632.8194319
3-2-tb	tb	2	-596.80908	-8.57675	-10.80037	-616.1862	-624.79927	-620.437232	-624.5563191	-626.56052	-620.7835356	-621.2365753	-639.491271	-633.7112942	-632.6053982	-641.2521817	-632.5456874	-633.8083947	-629.482851	-634.4944315	-627.0309593	-630.8332915
3-2-dy	dy	2	-596.80908	-7.25458	-10.22832	-614.29198	-622.81252	-618.6171503	-622.6898438	-623.555009	-618.92183	-619.338894	-637.6335222	-631.8528091	-630.7819622	-639.98803	-630.3893509	-631.6840552	-627.9742383	-632.6808071	-625.4059727	-629.1512697
3-2-ho	ho	2	-596.80908	-6.05906	-9.61959	-612.48773	-620.65468	-616.7620668	-620.814953	-621.2311115	-617.2573231	-617.4407204	-635.73413	-629.9992546	-628.9208112	-637.4644647	-628.1783376	-629.5041354	-626.4690166	-630.8444178	-623.7828483	-627.4796685
3-2-er	er	2	-596.80908	-5.17143	-9.10729	-611.0878	-619.65404	-615.6327685	-619.5782896	-619.7882235	-616.1306821	-615.57297	-634.5756938	-628.7958095	-627.7791767	-636.2284611	-626.8156073	-629.65238	-625.5606446	-629.724024	-622.7765782	-626.4152638
3-2-tm	tm	2	-596.80908	-4.35124	-8.60015	-609.76047	-618.51705	-614.3652708	-618.3402635	-618.3175619	-615.0026288	-614.9473077	-633.10095	-627.5929274	-626.6101273	-634.9910972	-625.4175635	-626.6424831	-624.51338	-628.5811835	-621.7617568	-625.3501415
3-2-yb	yb	2	-596.80908	-0.03756	-8.02843	-604.87507	-613.20435	-609.6797616	-613.5901533	-612.3744272	-610.1912661	-610.0089877	-628.5703759	-622.6312659	-621.8802309	-630.0430968	-619.9598989	-621.6407073	-620.2959246	-623.6942349	-617.2260174	-620.69813
3-2-lu	lu	2	-596.80908	-0.18616	-11.52907	-608.52431	-617.21857	-613.3074367	-617.5833672	-617.0210363	-613.1510205	-613.779271	-632.40712	-625.9994729	-627.02767	-633.751726	-624.7588366	-627.3024492	-622.2447434	-626.9374063	-619.49832	-623.3314032
3_3_la	la	3	-597.14139	-0.64194	-11.94406	-609.72739	-617.88355	-614.0808696	-618.6580047	-618.1748678	-613.9848864	-614.8364531	-633.0889608	-626.9425771	-626.4159879	-634.83067	-625.8905597	-628.4387026	-622.9577908	-627.7540806	-620.3520112	-624.1365872
